CTL,TSTRNG,DMILK,FAT,PRO,SCC
2,,55,3.61,3.17,19
5,,77,2.65,3.36,18
8,,64,3.1,3.38,227
9,,50,3.38,3.27,16
10,,57,2.58,3.07,16
18,,24,2.7,3.98,204
25,,57,3.41,3.16,178
26,,61,4.78,3.42,97
29,,77,2.95,2.95,60
30,,58,4.14,3.52,62
33,,122,2.33,2.85,13
37,,60,3.24,3.14,210
41,,63,3.51,3.3,10
42,,54,4.02,3.29,19
44,,88,3.88,3.15,1712
46,,95,2.95,3.03,10
48,,61,3.18,3.42,10
49,,72,2.81,2.9,17
52,,54,2.94,3.07,120
53,,79,2.95,3.3,10
58,,82,3.43,3.05,69
60,,41,3.36,3.2,184
62,,57,3.17,3.17,34
63,,28,4.09,2.9,14
66,,78,3.02,3.39,10
67,,84,1.96,2.77,89
68,,55,3.34,2.96,133
74,,59,3.1,2.6,17
75,,111,2.59,3.26,13
78,,120,3.23,3.47,20
79,,53,2.71,3.12,57
80,,86,3.2,2.84,16
82,,82,3.33,3.29,134
87,,57,2.76,2.98,13
88,,44,2.43,3,22
89,,60,3.32,2.93,20
91,,80,3.55,2.85,13
93,,59,3.43,2.97,2096
95,,44,3.18,3.39,80
96,,59,2.62,3.29,18
98,,61,2.9,2.99,12
99,,13,6,3.77,359
101,,99,2.96,3.29,10
102,,52,3.4,2.44,104
104,,76,3.71,3.48,17
105,,27,2.37,3.12,74
106,,71,2.92,3.39,278
109,,52,4.14,3.04,134
111,,55,3.68,3.48,127
115,,35,3.24,2.84,16
116,,74,4.06,3.74,395
120,,55,3.61,2.83,149
121,,62,3.14,3.21,85
126,,77,3.37,3.12,103
128,,57,3.4,3.18,26
133,,46,3.14,2.95,108
134,,115,2.42,2.7,17
136,,87,2.87,2.72,10
137,,61,4.07,3.51,413
140,,62,3.09,2.96,12
141,,44,3.17,3.1,98
152,,34,3.9,3.57,554
153,,57,5.13,3.63,18
154,,65,3.07,2.88,18
155,,84,2.91,3.09,12
157,,92,3.14,2.96,13
158,,72,2.67,3.3,96
159,,63,3.07,2.92,42
161,,90,2.5,2.68,38
162,,96,1.95,2.92,691
165,,67,2.87,2.97,18
170,,102,2.56,2.89,68
195,,42,3.55,3.17,106
199,,89,2.99,2.85,423
201,,84,2.79,3.3,69
208,,76,3.03,2.95,16
222,,77,3.09,3.3,21
260,,68,3.78,2.93,172
273,,46,4.25,3.72,810
278,,67,2.51,2.76,157
301,,4,5.56,2.8,517
302,,69,2.85,3.08,48
303,,84,2.74,2.81,36
305,,92,2.6,2.78,272
307,,61,4.44,3.82,297
308,,54,3.58,3.21,17
309,,99,3.12,2.98,553
316,,51,4.12,3.09,24
317,,61,3.33,3.06,37
318,,77,3.18,3.25,803
320,,48,3.59,3.39,305
352,,52,4.04,3.75,20
393,,129,2.63,3.1,164
408,,83,2.91,2.96,45
411,,55,3.59,3.42,128
416,,60,3.75,3.12,549
419,,75,2.72,2.53,101
420,,64,3.79,3.84,176
423,,85,2.2,2.84,61
431,,103,1.95,3.1,258
433,,41,3.75,2.83,64
437,,62,3.27,2.82,19
438,,46,2.76,3.3,137
439,,37,3.97,3.53,128
440,,58,3.69,3.49,677
441,,85,2.72,2.8,53
442,,82,3.08,3.27,10
443,,43,2.89,3.11,17
444,,70,3.14,2.95,375
454,,30,4.46,4.21,124
458,,96,2.99,3.04,15
467,,81,3.28,3.22,17
470,,84,2,3.05,14
482,,52,2.98,2.87,16
484,,63,2.85,3.65,65
485,,92,2.07,2.98,16
492,,66,3.25,2.83,11
493,,61,3.33,3,11
494,,42,4.17,3.63,87
495,,68,3.63,3.2,18
499,,68,3.04,3.1,60
121,,8052,,,
