CTL,DMILK,FAT,PRO,SCC
1,34.0,5.27,3.41,221
2,35.0,3.27,3.35,192
5,35.0,5.06,3.46,88
6,67.0,3.41,2.59,5
7,60.0,3.57,2.57,2
8,41.0,3.53,2.79,3
10,55.0,4.19,2.98,6
11,25.0,5.01,3.52,127
15,52.0,4.08,3.01,1
18,34.0,3.53,2.78,1
19,32.0,4.79,3.28,5
23,45.0,4.01,3.17,634
25,33.0,4.35,3.00,1
30,45.0,4.25,3.09,10
31,30.0,5.21,3.49,4
33,75.0,2.91,2.46,6
34,24.0,5.23,3.48,112
37,57.0,4.10,2.77,1
38,64.0,3.98,2.86,158
40,40.0,4.52,3.25,1
43,46.0,3.61,3.12,1125
46,28.0,3.60,2.83,1
47,26.0,4.26,3.20,1
48,41.0,4.40,3.36,108
49,57.0,4.45,3.20,1
52,41.0,4.05,2.70,4
53,54.0,3.98,3.32,10
56,40.0,4.28,2.92,1
58,26.0,4.23,3.12,1
59,29.0,5.18,3.68,81
62,28.0,4.88,3.32,7
63,53.0,3.92,3.12,252
64,46.0,5.10,3.00,1
65,34.0,4.76,3.47,10
67,80.0,3.03,2.52,154
74,19.0,5.51,3.79,1
75,77.0,3.90,3.59,1
79,63.0,3.36,2.49,6
80,28.0,3.37,2.90,2
87,84.0,2.99,2.66,10
88,34.0,3.82,3.30,64
89,42.0,3.98,3.00,1
91,43.0,2.28,2.73,4
92,23.0,4.55,3.10,6
93,40.0,4.69,2.97,6
94,41.0,5.17,3.28,2
95,25.0,4.83,3.40,2
96,52.0,3.75,3.14,10
98,40.0,4.62,3.64,178
101,22.0,3.98,2.91,4
102,17.0,5.33,3.25,2
103,28.0,6.27,3.66,190
104,15.0,6.87,3.92,186
105,40.0,4.77,3.20,84
109,52.0,3.57,2.66,74
111,28.0,3.30,2.55,7
113,40.0,3.66,2.95,4
114,62.0,3.29,2.59,10
115,50.0,4.58,3.29,1
117,34.0,5.77,3.04,4
127,75.0,2.55,3.00,7
128,15.0,3.21,4.20,933
129,46.0,4.25,2.82,1
132,52.0,4.69,3.51,6
136,32.0,4.24,3.29,1
138,50.0,3.67,2.68,10
140,48.0,4.23,3.09,2
141,40.0,3.46,2.73,129
147,38.0,3.92,2.94,1
151,34.0,5.12,3.44,10
152,37.0,4.32,2.91,3
153,42.0,3.39,2.82,114
154,54.0,3.64,2.69,1
155,48.0,3.94,2.89,5
156,29.0,4.28,3.26,4
158,16.0,3.99,3.79,262
161,48.0,4.07,3.10,2
163,23.0,4.61,3.17,264
165,63.0,3.02,2.63,3
166,36.0,4.24,3.14,1
168,48.0,4.37,3.25,10
169,52.0,3.84,2.91,61
170,25.0,4.62,3.33,57
199,71.0,3.14,2.70,138
201,28.0,4.90,3.62,107
208,43.0,4.49,2.91,10
211,23.0,2.51,3.93,1
260,48.0,3.52,2.85,83
264,56.0,3.94,2.85,82
269,32.0,5.30,3.68,10
273,33.0,3.85,3.05,1
278,58.0,3.61,2.37,4
302,34.0,2.23,2.57,10
303,53.0,3.62,2.84,97
306,41.0,4.18,3.90,132
309,51.0,4.05,3.15,1
315,32.0,3.65,2.56,4
317,28.0,3.77,2.79,3
318,21.0,4.03,2.74,4
349,26.0,4.68,3.29,5
357,56.0,3.55,3.01,2
393,23.0,5.06,3.54,8
409,45.0,3.67,2.56,10
416,22.0,5.01,3.74,66
419,54.0,3.01,2.48,69
420,30.0,5.32,3.87,108
425,29.0,3.79,2.61,2
433,55.0,3.40,2.55,4
435,46.0,4.15,3.18,143
437,46.0,4.18,2.95,56
438,33.0,4.08,3.08,7
439,29.0,5.28,3.78,7
440,50.0,3.78,2.75,2
441,17.0,4.92,3.18,3
442,36.0,5.01,3.53,4
443,30.0,4.64,3.18,5
444,40.0,4.15,3.28,105
454,25.0,4.81,3.59,1
458,38.0,3.80,3.21,4
462,57.0,3.69,3.16,1
463,17.0,3.86,2.94,143
467,49.0,4.21,3.13,64
468,6.0,2.69,3.84,266
470,47.0,3.85,3.11,10
473,32.0,3.50,3.16,274
475,59.0,3.31,2.99,101
482,56.0,3.50,2.86,2
484,62.0,3.71,3.21,98
485,43.0,4.28,3.12,1
492,62.0,3.54,2.81,4
493,45.0,3.80,2.66,139
494,64.0,3.48,2.77,1
495,55.0,4.92,3.37,7
499,28.0,4.26,3.20,94
134,5526.0,,,
